Year,unemployment rate,County,Poverty Rate
1996,4.25,Kansas,11.2
1996,5.383333333,Kentucky,17
1996,6.458333333,Louisiana,20.5
1996,4.9,Maryland,10.3
1996,4.6,Massachusetts,10.1
1996,4.9,Michigan,11.2
1996,3.8,Minnesota,9.8
1996,4.7,Missouri,9.5
1996,2.7,Nebraska,10.2
1996,5.1,Nevada,8.1
1996,6.116666667,NewJersey,9.2
1996,6.116666667,NewMexico,25.5
1996,6.116666667,NewYork,16.7
1996,6.116666667,NorthCarolina,12.2
1996,6.116666667,NorthDakota,11
1996,6.116666667,Ohio,12.7
1996,6.116666667,Oklahoma,16.6
1996,6.116666667,Oregon,11.8
1996,6.116666667,Pennsylvania,11.6
1996,6.116666667,PuertoRico,
1996,5.166666667,TENNESSE,15.9
1996,5.75,TEXAS,16.6
1996,3.375,UTAH,7.7
1996,4.316666667,VIRGINIA,12.3
1996,5.908333333,WASHINGTON,11.9
1996,3.608333333,WISCONSIN,8.8
1997,4.933333333,Alabama,15.7
1997,6.933333333,Alaska,8.8
1997,4.625,Arizona,17.2
1997,5.108333333,Arkansas,19.7
1997,6.408333333,California,16.6
1997,3.358333333,Colorado,8.2
1997,4.683333333,Connecticut,8.6
1997,4.008333333,Delaware,9.6
1997,8.141666667,District of Columbia,21.8
1997,4.925,Florida,14.3
1997,4.475,Georgia,14.5
1997,5.925,Hawaii,13.9
1997,4.775,Illinois,11.2
1997,3.416666667,Indiana,8.8
1997,3.791666667,Kansas,9.7
1997,5.225,Kentucky,15.9
1997,5.883333333,Louisiana,16.3
1997,4.8,Maryland,8.4
1997,4.1,Massachusetts,12.2
1997,4.3,Michigan,10.3
1997,3.2,Minnesota,9.6
1997,4.4,Missouri,11.8
1997,2.4,Nebraska,9.8
1997,4.4,Nevada,11
1997,5.325,NewJersey,9.3
1997,5.325,NewMexico,21.2
1997,5.325,NewYork,16.5
1997,5.325,NorthCarolina,11.4
1997,5.325,NorthDakota,13.6
1997,5.325,Ohio,11
1997,5.325,Oklahoma,13.7
1997,5.325,Oregon,11.6
1997,5.325,Pennsylvania,11.2
1997,5.325,PuertoRico,
1997,5.266666667,TENNESSE,14.3
1997,5.391666667,TEXAS,16.7
1997,3.166666667,UTAH,8.9
1997,3.7,VIRGINIA,12.7
1997,4.941666667,WASHINGTON,9.2
1997,3.475,WISCONSIN,8.2
1998,4.458333333,Alabama,14.5
1998,6.325,Alaska,9.4
1998,4.275,Arizona,16.6
1998,5.05,Arkansas,14.7
1998,5.933333333,California,15.4
1998,3.616666667,Colorado,9.2
1998,3.241666667,Connecticut,9.5
1998,3.491666667,Delaware,10.3
1998,8.316666667,District of Columbia,22.3
1998,4.45,Florida,13.1
1998,4.191666667,Georgia,13.5
1998,5.825,Hawaii,10.9
1998,4.45,Illinois,10.1
1998,3.008333333,Indiana,9.4
1998,3.675,Kansas,9.6
1998,4.508333333,Kentucky,13.5
1998,5.516666667,Louisiana,19.1
1998,4.2,Maryland,7.2
1998,3.4,Massachusetts,8.7
1998,4,Michigan,11
1998,2.7,Minnesota,10.3
1998,4,Missouri,9.8
1998,2.5,Nebraska,12.3
1998,4.2,Nevada,10.6
1998,4.558333333,NewJersey,8.6
1998,4.558333333,NewMexico,20.4
1998,4.558333333,NewYork,16.7
1998,4.558333333,NorthCarolina,14
1998,4.558333333,NorthDakota,15.1
1998,4.558333333,Ohio,11.2
1998,4.558333333,Oklahoma,14.1
1998,4.558333333,Oregon,15
1998,4.558333333,Pennsylvania,11.3
1998,4.558333333,PuertoRico,
1998,4.35,TENNESSE,13.4
1998,4.966666667,TEXAS,15.1
1998,3.558333333,UTAH,9
1998,2.775,VIRGINIA,8.8
1998,4.833333333,WASHINGTON,8.9
1998,3.283333333,WISCONSIN,8.8
1999,4.725,Alabama,15.2
1999,6.408333333,Alaska,7.6
1999,4.458333333,Arizona,12.2
1999,4.533333333,Arkansas,14.7
1999,5.266666667,California,14
1999,3.016666667,Colorado,8.5
1999,2.458333333,Connecticut,7.2
1999,3.283333333,Delaware,10.4
1999,6.575,District of Columbia,14.7
1999,3.933333333,Florida,12.4
1999,3.833333333,Georgia,12.8
1999,5.191666667,Hawaii,10.8
1999,4.408333333,Illinois,9.9
1999,2.95,Indiana,6.7
1999,3.483333333,Kansas,12.3
1999,4.491666667,Kentucky,12.1
1999,4.975,Louisiana,19.2
1999,3.5,Maryland,7.3
1999,3.3,Massachusetts,11.8
1999,3.7,Michigan,9.7
1999,2.7,Minnesota,7.3
1999,3.2,Missouri,11.7
1999,2.7,Nebraska,11
1999,4,Nevada,11.3
1999,4.4,NewJersey,7.8
1999,4.4,NewMexico,20.9
1999,4.4,NewYork,14.2
1999,4.4,NorthCarolina,13.8
1999,4.4,NorthDakota,13.1
1999,4.4,Ohio,12
1999,4.4,Oklahoma,12.8
1999,4.4,Oregon,12.6
1999,4.4,Pennsylvania,9.3
1999,4.4,PuertoRico,
1999,3.958333333,TENNESSE,11.9
1999,4.725,TEXAS,15.2
1999,3.508333333,UTAH,5.7
1999,2.7,VIRGINIA,7.9
1999,4.825,WASHINGTON,9.6
1999,3.075,WISCONSIN,8.6
2000,4.625,Alabama,13.3
2000,6.316666667,Alaska,7.6
2000,3.983333333,Arizona,11.7
2000,4.175,Arkansas,16.5
2000,4.925,California,12.7
2000,2.741666667,Colorado,9.8
2000,2.108333333,Connecticut,7.7
2000,3.608333333,Delaware,8.4
2000,5.691666667,District of Columbia,15.2
2000,3.758333333,Florida,11
2000,3.5,Georgia,12.1
2000,4.25,Hawaii,8.9
2000,4.441666667,Illinois,10.7
2000,3.05,Indiana,8.5
2000,3.775,Kansas,8
2000,4.141666667,Kentucky,12.6
2000,5.15,Louisiana,17.2
2000,3.5,Maryland,7.4
2000,2.8,Massachusetts,9.8
2000,3.7,Michigan,9.9
2000,3,Minnesota,5.7
2000,3.4,Missouri,9.2
2000,2.8,Nebraska,8.6
2000,4.1,Nevada,8.8
2000,3.65,NewJersey,7.3
2000,3.65,NewMexico,17.5
2000,3.65,NewYork,13.9
2000,3.65,NorthCarolina,12.5
2000,3.65,NorthDakota,10.4
2000,3.65,Ohio,10
2000,3.65,Oklahoma,14.9
2000,3.65,Oregon,10.9
2000,3.65,Pennsylvania,8.6
2000,3.65,PuertoRico,
2000,3.866666667,TENNESSE,13.5
2000,4.383333333,TEXAS,15.5
2000,3.325,UTAH,7.6
2000,2.283333333,VIRGINIA,8.3
2000,5.091666667,WASHINGTON,10.8
2000,3.391666667,WISCONSIN,9.3
2001,5.183333333,Alabama,15.9
2001,6.283333333,Alaska,8.5
2001,4.725,Arizona,14.6
2001,4.758333333,Arkansas,17.8
2001,5.466666667,California,12.6
2001,3.816666667,Colorado,8.7
2001,2.875,Connecticut,7.3
2001,3.575,Delaware,6.7
2001,6.466666667,District of Columbia,18.2
2001,4.425,Florida,12.7
2001,4.083333333,Georgia,12.9
2001,4.275,Hawaii,11.4
2001,5.433333333,Illinois,10.1
2001,4.241666667,Indiana,8.5
2001,4.266666667,Kansas,10.1
2001,5.208333333,Kentucky,12.6
2001,5.6,Louisiana,16.2
2001,4.2,Maryland,7.2
2001,3.8,Massachusetts,8.9
2001,5.2,Michigan,9.4
2001,3.8,Minnesota,7.4
2001,4.5,Missouri,9.7
2001,3.2,Nebraska,9.4
2001,5.2,Nevada,7.1
2001,4.233333333,NewJersey,8.1
2001,4.233333333,NewMexico,18
2001,4.233333333,NewYork,14.2
2001,4.233333333,NorthCarolina,12.5
2001,4.233333333,NorthDakota,13.8
2001,4.233333333,Ohio,10.5
2001,4.233333333,Oklahoma,15.1
2001,4.233333333,Oregon,11.8
2001,4.233333333,Pennsylvania,9.6
2001,4.233333333,PuertoRico,
2001,4.516666667,TENNESSE,14.1
2001,4.958333333,TEXAS,14.9
2001,4.366666667,UTAH,10.5
2001,3.283333333,VIRGINIA,8
2001,6.008333333,WASHINGTON,10.7
2001,4.433333333,WISCONSIN,7.9
2002,5.925,Alabama,14.5
2002,7.166666667,Alaska,8.8
2002,6.141666667,Arizona,13.5
2002,5.333333333,Arkansas,19.8
2002,6.758333333,California,13.1
2002,5.683333333,Colorado,9.8
2002,4.4,Connecticut,8.3
2002,4.266666667,Delaware,9.1
2002,6.983333333,District of Columbia,17
2002,4.958333333,Florida,12.6
2002,5.316666667,Georgia,11.2
2002,4.05,Hawaii,11.3
2002,6.55,Illinois,12.8
2002,5.191666667,Indiana,9.1
2002,5.083333333,Kansas,10.1
2002,5.791666667,Kentucky,14.2
2002,5.991666667,Louisiana,17.5
2002,4.8,Maryland,7.4
2002,5.2,Massachusetts,10
2002,6.2,Michigan,11.6
2002,4.5,Minnesota,6.5
2002,5.3,Missouri,9.9
2002,3.7,Nebraska,10.6
2002,5.7,Nevada,8.9
2002,5.766666667,NewJersey,7.9
2002,5.766666667,NewMexico,17.9
2002,5.766666667,NewYork,14
2002,5.766666667,NorthCarolina,14.3
2002,5.766666667,NorthDakota,11.6
2002,5.766666667,Ohio,9.8
2002,5.766666667,Oklahoma,14.1
2002,5.766666667,Oregon,10.9
2002,5.766666667,Pennsylvania,9.5
2002,5.766666667,PuertoRico,
2002,5.125,TENNESSE,14.8
2002,6.358333333,TEXAS,15.6
2002,5.666666667,UTAH,9.9
2002,4.358333333,VIRGINIA,9.9
2002,7.075,WASHINGTON,11
2002,5.325,WISCONSIN,8.6
2003,5.983333333,Alabama,15
2003,7.683333333,Alaska,9.6
2003,5.783333333,Arizona,13.5
2003,5.758333333,Arkansas,17.8
2003,6.891666667,California,13.1
2003,6.108333333,Colorado,9.7
2003,5.45,Connecticut,8.1
2003,4.466666667,Delaware,7.3
2003,7.275,District of Columbia,16.8
2003,4.466666667,Florida,12.7
2003,5.141666667,Georgia,11.9
2003,3.908333333,Hawaii,9.3
2003,6.725,Illinois,12.6
2003,5.275,Indiana,9.9
2003,5.55,Kansas,10.8
2003,6.191666667,Kentucky,14.4
2003,6.283333333,Louisiana,17
2003,4.8,Maryland,8.6
2003,5.7,Massachusetts,10.3
2003,7.1,Michigan,11.4
2003,4.8,Minnesota,7.4
2003,5.7,Missouri,10.7
